retailer_id,shopper_rtlr_loyalty_id
740,10
740,10000005
740,10000011
740,10000021
740,10000034
740,1000004
740,10000050
740,10000056
740,10000057
740,10000061
740,1000007
740,10000072
740,10000076
740,10000091
740,10000095
740,10000102
740,10000103
740,10000116
740,10000119
740,10000131
740,100001406
740,10000142
740,1000016
740,10000175
740,10000177
740,10000179
740,10000181
740,1000019
740,10000204
740,10000210
740,10000215
740,100002253
740,10000228
740,100002471
740,10000255
740,10000257
740,10000259
740,100002593
740,10000265
740,10000288
740,10000291
740,10000304
740,1000031
740,10000325
740,10000332
740,1000034
740,100003535
740,10000356
740,10000358
740,10000359
740,10000362
740,1000037
740,10000373
740,10000378
740,10000392
740,10000394
740,10000400
740,10000402
740,10000411
740,10000426
740,10000437
740,10000447
740,10000461
740,10000476
740,10000489
740,10000495
740,10000505
740,1000051
740,10000512
740,10000515
740,10000516
740,10000531
740,10000553
740,10000564
740,10000566
740,10000586
740,10000615
740,10000636
740,10000654
740,10000661
740,10000664
740,10000675
740,10000691
740,10000692
740,100007
740,10000724
740,1000078
740,1000080
740,1000085
740,10000874
740,10000925
740,10000980
740,100010
740,100010202
740,10001054
740,100010681
740,1000112
740,1000115
740,1000117
740,10001184
740,1000119
740,1000121
740,1000126
740,1000127
740,100013
740,100013044
740,1000133
740,1000134
740,100013941
740,1000145
740,10001457
740,1000146
740,1000155
740,10001595
740,1000160
740,100016481
740,100017
740,100018
740,1000187
740,100019636
740,1000200
740,10002039
740,10002061
740,100021186
740,1000213
740,100022018
740,100022175
740,100022497
740,1000226
740,10002280
740,100023894
740,1000255
740,10002587
740,1000271
740,10002718
740,1000274
740,100027639
740,100028
740,1000285
740,1000286
740,100028677
740,100029
740,100029265
740,1000295
740,100030
740,10003053
740,10003085
740,10003157
740,100032
740,100032203
740,100032678
740,100033122
740,100033703
740,100033824
740,10003391
740,100034241
740,10003481
740,100034877
740,100034981
740,1000351
740,100035258
740,10003605
740,10003671
740,100038
740,100039084
740,1000394
740,100039413
740,1000405
740,1000407
740,10004070
740,1000419
740,10004196
740,100042
740,10004322
740,1000439
740,10004417
740,1000445
740,10004469
740,100044967
740,1000451
740,10004514
740,1000453
740,10004582
740,100046466
740,100046548
740,100046857
740,100047164
740,10004765
740,10004783
740,100048319
740,1000491
740,10005
740,100050
740,100050085
740,100050097
740,10005013
740,10005056
740,1000506
740,1000508
740,100050925
740,1000511
740,100051212
740,100051456
740,1000515
740,10005178
740,10005227
740,10005256
740,1000526
740,100052605
740,10005434
740,100054513
740,10005457
740,100054606
740,100055
740,1000555
740,100055541
740,100055542
740,1000556
740,1000557
740,10005588
740,100056410
740,10005682
740,1000570
740,10005720
740,100058
740,1000580
740,100059207
740,1000594
740,10005968
740,100060556
740,100061153
740,10006122
740,10006148
740,100061568
740,10006166
740,10006201
740,1000623
740,1000624
740,100062543
740,100063128
740,1000633
740,1000646
740,100065
740,100065026
740,100065175
740,10006535
740,100065366
740,100065477
740,10006557
740,1000664
740,10006655
740,1000670
740,100067217
740,100067712
740,100068
740,1000686
740,100069
740,10006939
740,100069512
740,1000698
740,100069985
740,10007020
740,1000708
740,10007108
740,1000714
740,10007215
740,10007246
740,1000732
740,1000736
